x, y, z, Rad, State
 -151, 3, -416, 36, 0
 -99, 0, -424, 35, 0
 -52, -35, -388, 35, 0
 -10, -56, -362, 35, 0
 34, -71, -322, 35, 0
 87, -85, -294, 35, 0
 133, -89, -253, 35, 0
 91, -92, -261, 35, 0
 49, -83, -275, 35, 0
 -16, -57, -306, 35, 0
 -58, -55, -322, 35, 0
 -110, -35, -353, 35, 0
 -143, -17, -366, 26, 0
 52, -83, -280, 33, 0
 50, -77, -278, 25, 0
 27, -84, -274, 25, 0
 1, -65, -291, 35, 0
 -41, -65, -286, 35, 0
 -68, -56, -283, 28, 0
 -97, -50, -290, 30, 0
 -121, -36, -284, 28, 0
 -143, -29, -284, 25, 0
 -167, -20, -284, 25, 0
 -144, -29, -294, 0, 0
 -94, -47, -290, 0, 0
 22, -78, -275, 0, 0
 139, -89, -253, 0, 0
 111, -76, -275, 0, 0
 -24, -46, -349, 0, 0
 -126, -12, -405, 0, 0
 -159, 1, -414, 0, 0
 -134, 10, -430, 0, 0
 -96, -5, -426, 0, 0
 -19, -48, -370, 0, 0
 82, -74, -301, 0, 0
 145, -86, -266, 0, 0
 107, -70, -275, 0, 0
 30, -63, -322, 0, 0
 -48, -52, -356, 0, 0
 -116, -16, -393, 0, 0
 -159, 0, -417, 0, 0
